year,city_token,name,population,area_sqmi,area_ha,m2_per_person
2000,Cincinnati,"Cincinnati, OH--KY--IN",1503262.0,671.77,173987.63128804100,1157.4005814558000
2010,Cincinnati,"Cincinnati, OH--KY--IN                                                                              ",1624827.0,787.74,204023.72340360800,1255.664285512290
2020,Cincinnati,"Cincinnati, OH--KY",1686744.0,752.28,194839.62556435700,1155.1226834917300
1950,Kansas City,Kansas City,698350.0,149.0,38590.822844006400,552.6000264051900
1960,Kansas City,Kansas City,921121.0,282.4,73141.26423588860,794.0462136449900
1970,Kansas City,Kansas City,1101949.0,493.2,127738.21360177200,1159.2025910615800
1980,Kansas City,Kansas City,1097793.0,589.0,152550.29969879000,1389.608967253300
1990,Kansas City,"Kansas City, MO--KS",1275317.0,761.8,197305.29424539600,1547.1078504042200
2000,Kansas City,"Kansas City, MO--KS",1361744.0,584.41,151361.49515614600,1111.5268006038300
2010,Kansas City,"Kansas City, MO--KS                                                                                 ",1519417.0,677.84,175559.75407101500,1155.4415546950900
2020,Kansas City,"Kansas City, MO--KS",1674218.0,714.1,184951.0509590940,1104.701125893370
1950,Columbus,Columbus,437707.0,64.5,16705.4233116672,381.65766852408600
1960,Columbus,Columbus,616743.0,144.8,37503.027837665300,608.0819374952820
1970,Columbus,Columbus,790019.0,234.5,60735.221187379200,768.7817785063300
1980,Columbus,"Columbus, OH",833648.0,305.0,78994.63736524800,947.5778429894630
1990,Columbus,"Columbus, OH",945237.0,344.9,89328.68992548860,945.0401320038110
2000,Columbus,"Columbus, OH",1133193.0,397.71,103006.41713617300,908.9927058865790
2010,Columbus,"Columbus, OH                                                                                        ",1368035.0,510.46,132208.53308021100,966.4119198720170
2020,Columbus,"Columbus, OH",1567254.0,516.16,133684.82630310300,852.987622319694
1990,Virginia Beach,"Norfolk--Virginia Beach--Newport News, VA",1323098.0,663.7,171897.51088300000,1299.2046763202800
2000,Virginia Beach,"Virginia Beach, VA",1394439.0,526.8,136440.5736525010,978.4621173999040
2010,Virginia Beach,"Virginia Beach, VA                                                                                  ",1439666.0,515.45,133500.93714726900,927.30492452603
2020,Virginia Beach,"Virginia Beach--Norfolk, VA",1451578.0,481.67,124751.95731055400,859.4230369332830
1950,Charlotte,Charlotte,140930.0,34.5,8935.458980659200,634.0352643623930
1960,Charlotte,Charlotte,209551.0,73.9,19140.012135383000,913.3820471094410
1970,Charlotte,Charlotte,279433.0,105.7,27376.174326251500,979.704413088344
1980,Charlotte,Charlotte,350715.0,190.0,49209.774096384000,1403.1271572753900
1990,Charlotte,"Charlotte, NC",455597.0,241.7,62600.012626821100,1374.0216161831900
2000,Charlotte,"Charlotte, NC--SC",758927.0,434.91,112641.17290662300,1484.2161750289900
2010,Charlotte,"Charlotte, NC--SC                                                                                   ",1249442.0,741.49,192045.0283933040,1537.0463646436100
2020,Charlotte,"Charlotte, NC--SC",1379873.0,657.61,170320.2081238060,1234.3179997275500
1950,Milwaukee,Milwaukee,829495.0,101.7,26340.179082117100,317.5447601506590
1960,Milwaukee,Milwaukee,1149957.0,392.0,101527.53392517100,882.8811331655980
1970,Milwaukee,Milwaukee,1252457.0,456.5,118232.95723683800,944.0081155427960
1980,Milwaukee,Milwaukee,1207008.0,496.0,128463.41027266600,1064.312832
1990,Milwaukee,"Milwaukee, WI",1226293.0,512.0,132607.3912492030,1081.367921444580
2000,Milwaukee,"Milwaukee, WI",1308913.0,487.05,126145.3709139150,963.7414473988330
2010,Milwaukee,"Milwaukee, WI                                                                                       ",1376476.0,545.62,141314.93127615300,1026.6429002478300
2020,Milwaukee,"Milwaukee, WI",1306795.0,463.68,120092.56870006000,918.985523361045
1950,Providence,Providence,583346.0,142.6,36933.23045339140,633.1273455786340
1960,Providence,Providence,659542.0,188.0,48691.7764743168,738.2665012132180
1970,Providence,Providence,795311.0,244.1,63221.60977330180,794.9294021244740
1980,Providence,Providence,796250.0,282.0,73037.66471147520,917.2705144298300
1990,Providence,"Providence--Pawtucket, RI--MA",846293.0,298.7,77362.94485573630,914.1390139790390
2000,Providence,"Providence, RI--MA",1174548.0,503.63,130439.57120085200,1110.5512180077100
2010,Providence,"Providence, RI--MA                                                                                  ",1190956.0,545.05,141167.30195386400,1185.3276019757500
2020,Providence,"Providence, RI--MA",1285806.0,544.25,140960.10290503700,1096.278154753030
1950,Jacksonville,Jacksonville,242909.0,50.8,13157.13960050690,541.6489138116280
1960,Jacksonville,Jacksonville,372569.0,111.4,28852.467549143000,774.4194377187320
1970,Jacksonville,Jacksonville,529585.0,351.3,90986.2823161037,1718.067587188150
1980,Jacksonville,Jacksonville,598015.0,431.0,111628.48755548200,1866.6502939806100
1990,Jacksonville,"Jacksonville, FL",738413.0,507.7,131493.69636175900,1780.7608528257000
2000,Jacksonville,"Jacksonville, FL",882295.0,410.52,106324.19190551300,1205.0866422853300
2010,Jacksonville,"Jacksonville, FL                                                                                    ",1065219.0,530.36,137362.6094197800,1289.5245899648800
2020,Jacksonville,"Jacksonville, FL",1247374.0,573.27,148476.2484012320,1190.3105917009000
1950,Salt Lake City,Salt Lake City,227368.0,76.1,19709.80951965700,866.8682277038530
1960,Salt Lake City,Salt Lake City,348661.0,131.7,34110.14341312510,978.3182923563320
1990,Salt Lake City,"Salt Lake City, UT",789447.0,254.1,65811.59788363780,833.6417502839050
