year,city_token,name,population,area_sqmi,area_ha,m2_per_person
1990,Pittsburgh,"Pittsburgh, PA",1678745.0,778.1,201526.97486524418,1200.462100350227
2000,Pittsburgh,"Pittsburgh, PA",1753136.0,852.4,220770.58652504065,1259.289561819737
2010,Pittsburgh,"Pittsburgh, PA                                                                                      ",1733853.0,905.17,234437.9537832837,1352.12128008132
2020,Pittsburgh,"Pittsburgh, PA",1745039.0,906.64,234818.68203550312,1345.6357252502844
1950,Cleveland,Cleveland,1383599.0,300.1,77725.54319118337,561.7635108957392
1960,Cleveland,Cleveland,1784991.0,586.7,151954.60243341315,851.2905803637842
1970,Cleveland,Cleveland,1959880.0,646.1,167339.13180880898,853.8233555565084
1980,Cleveland,Cleveland,1752424.0,629.0,162910.2521401344,929.6280588495388
1990,Cleveland,"Cleveland, OH",1677492.0,635.9,164697.34393626626,981.8070305924932
2000,Cleveland,"Cleveland, OH",1786647.0,647.0,167572.23073873922,937.9146005827633
2010,Cleveland,"Cleveland, OH                                                                                       ",1780673.0,771.97,199939.31215360822,1122.8300319800896
2020,Cleveland,"Cleveland, OH",1712178.0,713.81,184875.941303894,1079.7705688537876
1950,Indianapolis,Indianapolis,502375.0,90.6,23465.29227964416,467.08718148084915
1960,Indianapolis,Indianapolis,639340.0,144.9,37528.927718768646,586.9948340283518
1970,Indianapolis,Indianapolis,820259.0,381.2,98730.34676600833,1203.6484423335596
1980,Indianapolis,Indianapolis,836472.0,433.0,112146.4851775488,1340.708178845781
1990,Indianapolis,"Indianapolis, IN",914761.0,468.9,121444.54249365504,1327.6095340056588
2000,Indianapolis,"Indianapolis, IN",1218919.0,552.92,143205.62259669811,1174.857579516753
2010,Indianapolis,"Indianapolis, IN                                                                                    ",1487483.0,705.74,182785.8208988529,1228.8262850657984
2020,Indianapolis,"Indianapolis, IN",1699881.0,722.55,187139.5909123277,1100.8981858867044
1950,Cincinnati,Cincinnati,813292.0,146.1,37839.72629200896,465.2661810519342
1960,Cincinnati,Cincinnati,993568.0,242.3,62755.41191344129,631.6166776047668
1970,Cincinnati,Cincinnati,1110514.0,335.1,86790.50157735938,781.5345108423611
1980,Cincinnati,Cincinnati,1123412.0,420.0,108779.500634112,968.2956976969447
1990,Cincinnati,"Cincinnati, OH--KY",1212675.0,511.7,132529.69160589314,1092.8706504701847
2000,Cincinnati,"Cincinnati, OH--KY--IN",1503262.0,671.77,173987.63128804148,1157.4005814558038
2010,Cincinnati,"Cincinnati, OH--KY--IN                                                                              ",1624827.0,787.74,204023.72340360808,1255.664285512292
2020,Cincinnati,"Cincinnati, OH--KY",1686744.0,752.28,194839.62556435663,1155.1226834917252
1950,Kansas City,Kansas City,698350.0,149.0,38590.822844006405,552.6000264051895
1960,Kansas City,Kansas City,921121.0,282.4,73141.26423588864,794.0462136449895
1970,Kansas City,Kansas City,1101949.0,493.2,127738.21360177152,1159.2025910615785
1980,Kansas City,Kansas City,1097793.0,589.0,152550.29969879042,1389.608967253302
1990,Kansas City,"Kansas City, MO--KS",1275317.0,761.8,197305.29424539648,1547.1078504042248
2000,Kansas City,"Kansas City, MO--KS",1361744.0,584.41,151361.49515614618,1111.5268006038298
2010,Kansas City,"Kansas City, MO--KS                                                                                 ",1519417.0,677.84,175559.75407101546,1155.4415546950934
2020,Kansas City,"Kansas City, MO--KS",1674218.0,714.1,184951.0509590938,1104.701125893365
1950,Columbus,Columbus,437707.0,64.5,16705.4233116672,381.65766852408575
1960,Columbus,Columbus,616743.0,144.8,37503.027837665286,608.0819374952822
1970,Columbus,Columbus,790019.0,234.5,60735.221187379204,768.7817785063297
1980,Columbus,"Columbus, OH",833648.0,305.0,78994.63736524801,947.5778429894633
1990,Columbus,"Columbus, OH",945237.0,344.9,89328.68992548864,945.0401320038111
2000,Columbus,"Columbus, OH",1133193.0,397.71,103006.41713617306,908.9927058865794
2010,Columbus,"Columbus, OH                                                                                        ",1368035.0,510.46,132208.53308021146,966.4119198720169
2020,Columbus,"Columbus, OH",1567254.0,516.16,133684.82630310298,852.987622319694
1990,Virginia Beach,"Norfolk--Virginia Beach--Newport News, VA",1323098.0,663.7,171897.51088300036,1299.2046763202752
2000,Virginia Beach,"Virginia Beach, VA",1394439.0,526.8,136440.5736525005,978.4621173999041
2010,Virginia Beach,"Virginia Beach, VA                                                                                  ",1439666.0,515.45,133500.93714726914,927.30492452603
2020,Virginia Beach,"Virginia Beach--Norfolk, VA",1451578.0,481.67,124751.95731055412,859.4230369332831
1950,Charlotte,Charlotte,140930.0,34.5,8935.458980659201,634.0352643623928
1960,Charlotte,Charlotte,209551.0,73.9,19140.012135383044,913.3820471094408
1970,Charlotte,Charlotte,279433.0,105.7,27376.174326251523,979.704413088344
1980,Charlotte,Charlotte,350715.0,190.0,49209.774096384004,1403.1271572753947
