Table 1,,,,,,
UACE,NAME,POP,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI
9757,"Brazil, IN","10,587","17,102,535",6.60,"49,727",0.02
9801,"Breaux Bridge, LA","17,542","55,075,902",21.26,"797,786",0.31
9811,"Breckenridge, CO","8,725","28,879,151",11.15,0.00,0.00
9838,"Breckenridge, TX","5,455","12,554,020",4.85,"9,818",0.00
9865,"Breese, IL","4,637","6,068,055",2.34,0.00,0.00
9892,"Bremen, GA","7,327","19,104,846",7.38,"20,518",0.01
9946,"Bremerton, WA","224,449","380,494,577",146.91,"82,515,494",31.86
9973,"Brenham, TX","17,395","26,583,191",10.26,"79,918",0.03
10027,"Brevard, NC","13,059","35,797,279",13.82,"9,489",0.00
10081,"Brewton, AL","6,371","16,207,531",6.26,"52,981",0.02
10162,"Bridgeport--Stamford, CT--NY","916,408","1,028,982,132",397.29,"28,182,017",10.88
10189,"Bridgeton, NJ","35,666","31,504,765",12.16,"480,612",0.19
10243,"Brigham City, UT","25,827","26,251,248",10.14,"6,306",0.00
10351,"Bristol, TN--VA","70,638","177,897,747",68.69,"460,219",0.18
10405,"Broadway--Timberville, VA","7,188","9,320,100",3.60,"73,819",0.03
10418,"Brockport, NY","13,079","16,638,508",6.42,"138,614",0.05
10567,"Brookfield, MO","3,869","8,320,578",3.21,"23,046",0.01
10594,"Brookhaven, MS","10,152","25,989,578",10.03,"59,304",0.02
10621,"Brookings, OR","11,294","18,517,726",7.15,"329,587",0.13
10648,"Brookings, SD","23,674","28,744,518",11.10,0.00,0.00
10729,"Brooksville, FL","12,128","21,627,985",8.35,"255,566",0.10
10783,"Brookville, OH","6,372","10,555,766",4.08,0.00,0.00
10810,"Brookville, PA","4,644","9,426,440",3.64,"211,981",0.08
10837,"Brownfield, TX","8,264","11,284,096",4.36,"31,039",0.01
10891,"Browns Mills, NJ","27,234","44,879,147",17.33,"1,472,716",0.57
